Column1,Content ID,content Type,Category,Reactions.Reaction Type,Reactions.Datetime,ReactionTypes.Sentiment,ReactionTypes.Score,UNIQUE CATEGORY,VALUES
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,disgust,07-11-2020 09:43,negative,0,Animals,74965
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,disgust,06-01-2021 19:13,negative,0,science,71168
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,dislike,17-06-2021 12:22,negative,10,healthy eating,69339
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,scared,18-04-2021 05:13,negative,15,technology,68738
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,scared,02-11-2020 06:28,negative,15,food,66676
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,scared,03-09-2020 18:51,negative,15,culture,66579
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,hate,27-01-2021 08:32,negative,5,cooking,64756
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,hate,07-10-2020 18:39,negative,5,soccer,57783
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,interested,23-08-2020 12:25,positive,30,tennis,57783
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,interested,01-11-2020 01:16,positive,30,education,57436
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,peeking,07-12-2020 06:27,neutral,35,fitness,55323
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,peeking,01-04-2021 22:54,neutral,35,Studying,54269
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,peeking,23-09-2020 06:24,neutral,35,dogs,52511
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,indifferent,07-11-2020 08:36,neutral,20,travel,52511
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,cherish,11-04-2021 17:35,positive,70,veganism,49619
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,love,04-08-2020 05:05,positive,65,public speaking,49264
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,super love,24-02-2021 05:09,positive,75,,
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,indifferent,24-02-2021 11:37,neutral,20,,
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,interested,22-05-2021 19:44,positive,30,,
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,intrigued,31-01-2021 16:03,positive,45,,
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,peeking,20-11-2020 17:26,neutral,35,,
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,worried,11-04-2021 20:47,negative,12,,
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,like,13-06-2021 16:46,positive,50,,
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,heart,11-04-2021 14:29,positive,60,,
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,worried,02-03-2021 19:21,negative,12,,
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,hate,27-06-2020 18:44,negative,5,,
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,hate,09-05-2021 21:05,negative,5,,
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,cherish,04-08-2020 23:58,positive,70,,
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,super love,28-08-2020 03:57,positive,75,,
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,intrigued,25-08-2020 08:21,positive,45,,
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,scared,20-04-2021 23:48,negative,15,,
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,interested,07-03-2021 12:40,positive,30,,
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,indifferent,24-05-2021 03:21,neutral,20,,
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,super love,24-01-2021 11:03,positive,75,,
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,disgust,09-04-2021 02:46,negative,0,,
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,super love,02-02-2021 03:43,positive,75,,
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,interested,04-02-2021 03:06,positive,30,,
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,dislike,09-11-2020 02:49,negative,10,,
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,scared,29-09-2020 16:00,negative,15,,
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,dislike,29-11-2020 21:33,negative,10,,
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,want,13-02-2021 07:54,positive,70,,
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,interested,14-07-2020 05:28,positive,30,,
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,indifferent,23-08-2020 10:30,neutral,20,,
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,worried,10-05-2021 09:27,negative,12,,
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,hate,15-03-2021 03:59,negative,5,,
1,9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,dislike,25-06-2020 17:01,negative,10,,
1,9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,intrigued,13-09-2020 00:11,positive,45,,
1,9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,peeking,20-08-2020 18:17,neutral,35,,
1,9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,scared,11-02-2021 04:53,negative,15,,
1,9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,hate,08-03-2021 10:40,negative,5,,
1,9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,disgust,28-03-2021 21:15,negative,0,,
1,9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,hate,25-05-2021 01:00,negative,5,,
1,9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,like,15-03-2021 12:17,positive,50,,
1,9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,love,05-05-2021 16:26,positive,65,,
1,9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,love,31-08-2020 00:21,positive,65,,
1,9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,heart,16-06-2021 03:02,positive,60,,
1,9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,indifferent,07-07-2020 10:52,neutral,20,,
1,9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,peeking,20-08-2020 07:59,neutral,35,,
1,9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,love,23-09-2020 11:15,positive,65,,
1,9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,like,24-03-2021 05:56,positive,50,,
2,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,hate,07-12-2020 19:13,negative,5,,
2,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,super love,03-08-2020 16:41,positive,75,,
